iter	Passed	Remaining
403	10033	14801
404	10055	14773
405	10080	14747
406	10103	14720
407	10127	14695
408	10158	14678
409	10185	14657
410	10215	14639
411	10238	14612
412	10260	14583
413	10280	14551
414	10300	14520
415	10324	14493
416	10347	14466
417	10373	14443
418	10404	14427
419	10433	14408
420	10458	14383
421	10485	14361
422	10512	14340
423	10534	14311
424	10560	14287
425	10579	14254
426	10601	14226
427	10624	14198
428	10647	14171
429	10669	14143
430	10692	14116
431	10717	14091
432	10737	14060
433	10757	14028
434	10784	14007
435	10808	13981
436	10831	13954
437	10854	13927
438	10875	13897
439	10900	13873
440	10920	13842
441	10941	13813
442	10968	13790
443	10996	13770
444	11022	13747
445	11050	13726
446	11074	13700
447	11096	13672
448	11121	13647
449	11142	13618
450	11161	13587
451	11184	13560
452	11205	13530
453	11230	13506
454	11251	13477
455	11274	13450
456	11296	13421
457	11324	13401
458	11356	13384
459	11388	13369
460	11421	13353
461	11454	13338
462	11480	13315
463	11511	13297
464	11535	13272
465	11559	13246
466	11583	13220
467	11610	13197
468	11639	13178
469	11663	13151
470	11691	13131
471	11723	13113
472	11757	13099
473	11787	13080
474	11818	13062
475	11844	13039
476	11870	13015
477	11894	12989
478	11922	12967
479	11948	12944
480	11979	12926
481	12011	12908
482	12038	12886
483	12069	12866
484	12093	12841
485	12116	12814
486	12139	12787
487	12161	12759
488	12186	12734
489	12210	12709
490	12241	12690
491	12267	12666
492	12290	12639
493	12317	12616
494	12342	12591
495	12364	12564
496	12390	12540
497	12414	12513
498	12437	12487
499	12464	12464
500	12493	12443
501	12523	12423
502	12551	12402
503	12578	12379
504	12610	12360
505	12637	12337
506	12659	12309
507	12687	12287
508	12711	12262
509	12740	12240
510	12768	12218
511	12799	12199
512	12825	12175
513	12849	12149
514	12880	12129
515	12909	12109
516	12934	12083
517	12955	12055
518	12980	12030
519	13007	12006
520	13035	11984
521	13063	11961
522	13096	11944
523	13125	11923
524	13151	11899
525	13172	11869
526	13196	11844
527	13224	11822
528	13249	11796
529	13277	11774
530	13301	11748
531	13325	11722
532	13353	11699
