iter	Logloss
0	0.6781870073
1	0.6647903674
2	0.653564748
3	0.6458472059
4	0.6363469476
5	0.6310308337
6	0.6256194062
7	0.6206716998
8	0.6165068163
9	0.6111126751
10	0.6078833994
11	0.6045295725
12	0.6014516713
13	0.5991720735
14	0.5967843866
15	0.5943498443
16	0.5923609764
17	0.5904199604
18	0.5871952076
19	0.585699909
20	0.5846222682
21	0.5831161675
22	0.5817417164
23	0.5805298707
24	0.5794085678
25	0.5774149434
26	0.5759885426
27	0.5743624766
28	0.5732067098
29	0.5723527132
30	0.5712275515
31	0.5701688775
32	0.5696949853
33	0.5688334782
34	0.5683196953
35	0.5678738923
36	0.5671197777
37	0.5666973259
38	0.5662697553
39	0.5658969196
40	0.565514142
41	0.565192513
42	0.564924356
43	0.5644258757
44	0.564154516
45	0.5636388142
46	0.5629834878
47	0.5625263081
48	0.5621025514
49	0.5616903743
50	0.5614531553
51	0.5610340482
52	0.5608068939
53	0.5605876356
54	0.5603419483
55	0.5601482163
56	0.5599264555
57	0.55961164
58	0.5594233535
59	0.5591987318
60	0.5588946968
61	0.5586659208
62	0.5585336086
63	0.5583685441
64	0.5581117796
65	0.5579024152
66	0.5577039512
67	0.5574265623
68	0.557159636
69	0.5569656558
70	0.5567835039
71	0.5565896748
72	0.5564137431
73	0.5562023774
74	0.5560058428
75	0.5556753914
76	0.5554961229
77	0.555275975
78	0.5550238107
79	0.5547754376
80	0.5545910387
81	0.5544612199
82	0.5542719127
83	0.5540159721
84	0.5538651135
85	0.5537118044
86	0.5535388588
87	0.5533746277
88	0.5532084633
89	0.5530642359
90	0.5529245724
91	0.5527740792
92	0.5526223161
93	0.552464291
94	0.5523283935
95	0.5521116535
96	0.5519482698
97	0.5517966395
98	0.5515915828
99	0.5514610863
100	0.5511591644
101	0.5509930286
102	0.5508472298
103	0.5506767759
104	0.5504897654
105	0.5503469724
106	0.5501540806
107	0.5499991699
108	0.5498484495
109	0.5496860324
110	0.5495454387
111	0.5493988087
112	0.5492878894
113	0.5491302653
114	0.548990011
115	0.5488451596
116	0.5486885026
117	0.5485900773
118	0.5484215137
119	0.5483058233
120	0.5481657499
121	0.5480133889
122	0.5478475747
123	0.5477276596
124	0.5475647029
125	0.5473554463
126	0.5471634827
127	0.5470251622
128	0.5469008855
129	0.5468003355
130	0.5466427363
131	0.5465029243
132	0.5464107337
133	0.5463155579
134	0.5461436218
135	0.5459897532
136	0.5458276981
137	0.5456927877
138	0.5455591665
139	0.5454118576
140	0.5452673191
141	0.545137987
142	0.5450096237
143	0.5449022365
144	0.5446540908
145	0.5445556325
146	0.5444294713
147	0.5443332828
148	0.5441875671
149	0.544051124
150	0.5438678979
151	0.5437368961
152	0.5435872773
153	0.5434708714
154	0.5431788347
155	0.5430516078
156	0.5429038583
157	0.5427700682
158	0.5426661898
159	0.5425913753
160	0.5424998196
161	0.542413132
162	0.542282617
163	0.5421571359
164	0.5420702027
165	0.5419492868
166	0.5418155156
167	0.5416820445
168	0.5415449459
169	0.5414321372
170	0.5413371213
171	0.5411937506
172	0.5410896438
173	0.5409841658
174	0.5408704425
175	0.5406493521
176	0.540503169
177	0.5403457115
178	0.5402351927
179	0.5400454524
180	0.5399007896
181	0.5397780429
182	0.5396447148
183	0.5395080104
184	0.5393396711
185	0.539195435
186	0.5390460704
187	0.5389159846
188	0.5388160984
189	0.53867665
190	0.5385343307
191	0.5384379394
192	0.538298348
193	0.5381576546
194	0.5380676068
195	0.5379109998
196	0.5377215765
197	0.5375694601
198	0.5374181056
199	0.5373293776
200	0.5372063558
201	0.5370919331
202	0.5370119047
203	0.536872612
204	0.5367784931
205	0.5366354874
206	0.5365091488
207	0.5363555767
208	0.5362003883
209	0.5360281068
210	0.5358629999
211	0.5357687096
212	0.5356295079
213	0.5355422772
214	0.5354609902
215	0.5353565271
216	0.5352651364
217	0.5351520054
218	0.5350212053
219	0.5348743555
220	0.5346563484
221	0.5345362358
222	0.5343831899
223	0.5342437194
224	0.5341265563
225	0.5339925504
226	0.5338912091
227	0.5337514415
228	0.5336328357
229	0.5334561372
230	0.5332753605
231	0.5331152427
232	0.53297696
233	0.5328458026
234	0.5327453726
235	0.5325869437
236	0.5324459106
237	0.5323274895
238	0.5321474317
239	0.5320290742
240	0.5318512408
241	0.5317307204
242	0.5316044391
243	0.5314484505
244	0.5312981388
245	0.5311379561
246	0.5309015362
247	0.5307514524
248	0.53058776
249	0.5304253899
250	0.5302781047
251	0.5300964939
252	0.5299626548
253	0.529795801
254	0.5296538929
255	0.5294976232
256	0.5293024156
257	0.5291503066
258	0.5290082084
259	0.5288740271
260	0.5287365349
261	0.5285784676
262	0.5284250907
263	0.5282953368
264	0.5281370636
265	0.5279909427
266	0.5278554195
267	0.5276845448
268	0.5274952605
269	0.5273133035
270	0.527153941
271	0.5269937829
272	0.5268805049
273	0.526748091
274	0.5265884807
275	0.5264522146
276	0.5263279933
277	0.5261799872
278	0.5260302517
279	0.5258888681
280	0.5255948897
281	0.5254279274
282	0.5253059188
283	0.5251485927
284	0.5249554158
285	0.524776055
286	0.5246361379
287	0.5244683422
288	0.5242848756
289	0.5241246896
290	0.5239997925
291	0.5238258505
292	0.5236697416
293	0.5235377338
294	0.5233702755
295	0.5232124837
296	0.5230690478
297	0.522922571
298	0.5227619712
299	0.5226062409
300	0.522479736
301	0.5223541779
302	0.5222530235
303	0.5220843265
304	0.5219593553
305	0.5218168991
306	0.5216730061
307	0.5215108489
308	0.521397571
309	0.5212392677
310	0.5210994136
311	0.5209497889
312	0.52081941
313	0.520650831
314	0.5204862323
315	0.5203363316
316	0.5201616188
317	0.5199824571
318	0.5198416772
319	0.5196893053
320	0.5195164797
321	0.5193410819
322	0.5191725698
323	0.5190392749
324	0.518874729
325	0.5187279322
326	0.5185894575
327	0.5184184713
328	0.5182544082
329	0.5180773226
330	0.5179363578
331	0.5178130255
332	0.5176579997
333	0.5175091629
334	0.5173252215
335	0.5171739026
336	0.5170168295
337	0.5168477963
338	0.5167068892
339	0.5165298088
340	0.5163868771
341	0.5162265808
342	0.5161003198
343	0.5159454896
344	0.5158118808
345	0.5155421492
346	0.5154293134
347	0.5153055385
348	0.5151701393
349	0.5149999642
350	0.5148422849
351	0.5147076862
352	0.5145447656
353	0.5144213368
354	0.514262054
355	0.5141140539
356	0.5139477198
357	0.5137585313
358	0.5135945914
359	0.5134334312
360	0.5132607748
361	0.513064335
362	0.5129163316
363	0.5127716516
364	0.5126198448
365	0.5124904763
366	0.5123601958
367	0.5122268913
368	0.5121089576
369	0.5119374308
370	0.5117418726
371	0.5115899014
372	0.5113899301
373	0.5112374578
374	0.5110678539
375	0.5109073208
376	0.5107431258
377	0.5105983204
378	0.5104570727
379	0.510282519
380	0.5101479439
381	0.5100090179
382	0.5098623367
383	0.5096952025
384	0.5095465656
385	0.5094279103
386	0.5092657059
387	0.5091095399
388	0.509003295
389	0.5088694767
390	0.5087415456
391	0.5085810778
392	0.5084434475
393	0.5082912377
394	0.5081680058
395	0.5080206437
396	0.5078725174
397	0.5077050044
398	0.5075537105
399	0.5074306803
400	0.5072614709
401	0.5071168211
402	0.5069966195
403	0.5068304355
404	0.506693718
405	0.5065463372
406	0.5063933877
407	0.5062220809
408	0.5060706881
409	0.5059643305
410	0.5057816655
411	0.5056206578
412	0.5054570195
413	0.505309388
414	0.5051776236
415	0.5050297518
416	0.5049013758
417	0.5047722141
418	0.5046178332
419	0.5044794186
420	0.5043835812
421	0.5042497659
422	0.5040757311
423	0.5038114867
424	0.5036595183
425	0.5035229804
426	0.50337724
427	0.5032369385
428	0.5030802921
429	0.502953808
430	0.5028112889
431	0.5026775528
432	0.502565396
433	0.5024437796
434	0.5023003295
435	0.5021438199
436	0.5019820494
437	0.5018163303
438	0.5016370371
439	0.5015043114
440	0.5013509381
441	0.5012451908
442	0.5011411295
443	0.5010231817
444	0.5009269731
445	0.5007650256
446	0.500615206
447	0.5005179405
448	0.5003059406
449	0.5001830583
450	0.5000198256
451	0.4998585117
452	0.499692747
453	0.4995580848
454	0.4994274714
455	0.4992533424
456	0.4991459673
457	0.4990078266
458	0.4988866996
459	0.4987728308
460	0.4986035224
461	0.4984520657
462	0.4983129175
463	0.4981628649
464	0.4980553752
465	0.4978978365
466	0.4977333594
467	0.4976090779
468	0.4974614503
469	0.4972610889
470	0.4971152919
471	0.4969811809
472	0.4968258106
473	0.4966792332
474	0.4965531936
475	0.4963919108
476	0.4962570193
477	0.4961362663
478	0.4959923634
479	0.4958841111
480	0.4957538034
481	0.4956318321
482	0.4954918539
483	0.495301145
484	0.4951781322
485	0.4950536823
486	0.4949128007
487	0.4947855019
488	0.4946191586
489	0.494486927
490	0.4943358461
491	0.4942053077
492	0.4940783409
493	0.4939437948
494	0.4938269543
495	0.4936793031
496	0.4935265677
497	0.4934166463
498	0.493269316
499	0.4931346812
500	0.4930023818
501	0.492873702
502	0.4927349144
503	0.4925351638
504	0.4923906973
505	0.4922650022
506	0.4921289841
507	0.4919848255
508	0.491845198
509	0.4917254533
510	0.4915756385
511	0.4914535871
512	0.4913289571
513	0.4912088931
514	0.4910579841
515	0.4908996001
516	0.4907516781
517	0.4906483489
518	0.4905076005
519	0.4903629577
520	0.490237479
521	0.4901367486
522	0.4900355776
523	0.4899187605
524	0.4897824224
525	0.4896633348
526	0.4895375486
527	0.4894417832
528	0.4893194958
529	0.4892249379
530	0.4890769268
531	0.4889049418
532	0.4888110267
533	0.4886932496
534	0.4885873661
535	0.4884648852
536	0.4883379049
537	0.4881958305
538	0.4880318893
539	0.4878868107
540	0.4877359464
541	0.4876285245
542	0.4874848576
543	0.4873771184
544	0.4872698978
545	0.4871527775
546	0.487032632
547	0.4869005024
548	0.4868033973
549	0.4867053599
550	0.4866077459
551	0.4864500744
552	0.486352924
553	0.4862010445
554	0.4860727835
555	0.4859431417
556	0.48578747
557	0.4856660698
558	0.4855475313
559	0.4854406719
560	0.4853143357
561	0.4851818383
562	0.4850703833
563	0.4849176108
564	0.4847639041
565	0.4846081543
566	0.4845053557
567	0.4843901523
568	0.4842953948
569	0.4841558019
570	0.4840289585
571	0.4839004549
572	0.4837821863
573	0.4836909015
574	0.483564465
575	0.4834196046
576	0.4833058757
577	0.4831707026
578	0.4830231501
579	0.4828810544
580	0.4827518809
581	0.4825986213
582	0.4824483241
583	0.482295223
584	0.4821692302
585	0.4820367779
586	0.4819313524
587	0.4818303754
588	0.4817384297
589	0.4815838709
590	0.4814917692
591	0.4813729817
592	0.4812749801
593	0.4811543228
594	0.4810229395
595	0.4808879353
596	0.4807413192
597	0.4806346189
598	0.4805190335
599	0.4803756738
600	0.4802594731
601	0.4801564716
602	0.4800462257
603	0.4799293635
604	0.4797763953
605	0.4796600836
606	0.4795495692
607	0.4794254494
608	0.4792938069
609	0.4791542833
610	0.4790366672
611	0.478919132
612	0.4787750872
613	0.4786415658
614	0.4785540983
615	0.4784274646
616	0.4782827348
617	0.4781408604
618	0.4780204138
619	0.4778823347
620	0.4777795854
621	0.4776683482
622	0.4775428006
623	0.4774013599
624	0.4772966383
625	0.4771545328
626	0.4770469378
627	0.4769139939
628	0.4767941723
629	0.476687049
630	0.476581905
631	0.476473726
632	0.4763269624
633	0.4762021453
634	0.4760771683
635	0.4759352059
636	0.4757959578
637	0.4756525394
638	0.4755166494
639	0.4753995415
640	0.4752920911
641	0.4751748019
642	0.4750737048
643	0.4749347135
644	0.4748180292
645	0.4746775268
646	0.47454944
647	0.474445239
648	0.4743413644
649	0.4742088694
650	0.4740661246
651	0.4739747206
652	0.4738751988
653	0.4737593416
654	0.4736387306
655	0.4734161288
656	0.4732833898
657	0.4731898213
658	0.4730903694
659	0.4729765409
660	0.4728391762
661	0.4726909996
662	0.4725472734
663	0.4724316018
664	0.4722835241
665	0.472123574
666	0.4719696712
667	0.4718555993
668	0.4717250726
669	0.4715646831
670	0.4714571401
671	0.4712884243
672	0.4711658292
673	0.47106372
674	0.4709183641
675	0.4708179798
676	0.4707061947
677	0.4705871272
678	0.4704765175
679	0.4703431384
680	0.4702335454
681	0.4701331134
682	0.4700228626
683	0.4698811617
684	0.4697816942
685	0.4696848167
686	0.4695559233
687	0.469454733
688	0.4693228534
689	0.4692010542
690	0.4690358268
691	0.4688943844
692	0.4688171905
693	0.468730543
694	0.4685959037
695	0.4684724779
696	0.4683858518
697	0.468264203
698	0.4681414539
699	0.4680080267
700	0.4678592796
701	0.4677504449
702	0.4676398857
703	0.4675072554
704	0.4673974402
705	0.4673089613
706	0.4671720922
707	0.467020736
708	0.4668844185
709	0.4667915269
710	0.4666567431
711	0.4665516131
712	0.4664720688
713	0.4663194311
714	0.4662027008
715	0.4660480292
716	0.4659250058
717	0.4658017204
718	0.4656761329
719	0.4655680728
720	0.4654730171
721	0.46535784
722	0.4651839285
723	0.4650624512
724	0.4649428142
725	0.4648273709
726	0.4647303883
727	0.4646211011
728	0.4645362297
729	0.4644049516
730	0.4642636012
731	0.4642075087
732	0.4640529048
733	0.4639500725
734	0.463845982
735	0.4637066057
736	0.4635954821
737	0.4634874696
738	0.4633946454
739	0.4632265821
740	0.4631098097
741	0.4629664603
742	0.4628967663
743	0.4627755835
744	0.462654338
745	0.4625576354
746	0.4624379718
747	0.4623208521
748	0.4622444912
749	0.4621330135
750	0.462038949
751	0.4619466023
752	0.4618168858
753	0.4616992629
754	0.4615845304
755	0.4614876752
756	0.4613493295
757	0.4612513044
758	0.4611486238
759	0.4610241135
760	0.4609097641
761	0.4607553743
762	0.4606510893
763	0.4605105232
764	0.4603999632
765	0.4602814519
766	0.4601684773
767	0.4600358829
768	0.4599221827
769	0.4598208668
770	0.4596910433
771	0.4595892295
772	0.459449606
773	0.45931558
774	0.4592107109
775	0.4590950741
776	0.4589908042
777	0.4588944613
778	0.4587755608
779	0.4586899045
780	0.4585926616
781	0.4584876994
782	0.4583692921
783	0.4582340142
784	0.4581083199
785	0.4579779244
786	0.4578718541
787	0.4577425815
788	0.457614358
789	0.4574961959
790	0.4573858768
791	0.4572579179
792	0.4571707481
793	0.4570728309
794	0.4569561922
795	0.4568307438
796	0.4567327361
797	0.4565983104
798	0.4564526869
799	0.4563329466
800	0.4562139428
801	0.4561004857
802	0.4559631868
803	0.455846944
804	0.4557629117
805	0.4556180556
806	0.4554883537
807	0.4553801504
808	0.4552742686
809	0.4551448872
810	0.4550422083
811	0.4549172965
812	0.4547701906
813	0.4546726317
814	0.4546017397
815	0.4545119259
816	0.4544039434
817	0.4543217531
818	0.4542119774
819	0.4541001821
820	0.4539587267
821	0.4538549365
822	0.4537225232
823	0.4535667597
824	0.4534817362
825	0.4533819283
826	0.4532570809
827	0.453127773
828	0.4530331272
829	0.4529422014
830	0.452785154
831	0.4526553065
832	0.4525307554
833	0.4524130954
834	0.4522912364
835	0.4521665373
836	0.4520455995
837	0.4519251461
838	0.4517970309
839	0.4516811544
840	0.4515422839
841	0.4514286666
842	0.4513038635
843	0.4511760729
844	0.4510288476
845	0.4509284504
846	0.4508081607
847	0.4507114985
848	0.4506192065
849	0.4505150833
850	0.4503898306
851	0.4502798345
852	0.4501787946
